Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,50.9,,,,,,,,,,,,,38,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.9,0.6,0.4,0.2,0.3,0.3,0.3,0.2,0.4,0.3,0.4,0.2,0.3,0.2,,,
Pre-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,0.5,0.1,0.3,0.1,0.2,0.1,0.5,0.7,0.8,0.5,0.5,0.4,0.4,0.3,0.1,,
Paraguay,,,,,,,,,,,1,,,,,11.9,,10.4,,9.9,,8.6,12.8,7.8,5.4,5.8,7.6,7.4,3.9,5.4,5.2,4.6,3.2,1.7,2.2,1.7,1.5,0.9,1.3,0.9,0.8,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.3,1.5,,0.3,0.2,0.2,,,,,0.8,,,,,
Pacific island small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,4.9,3.7,2.8,3.8,4.9,5.6,6,6.5,4.6,2.8,3.1,2.4,2,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.1,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,78,,,,,69.1,,,,,63.2,,,57.9,,,56.5,,,,,
South Asia,,58.2,57.8,56.1,54.5,53.1,52.4,51.7,50.4,49.9,49.5,48.9,47.1,46,45.2,43.3,42,,,,,,39.6,38.5,36.8,34.9,33.5,31.8,30.4,29.3,26.7,20.5,19.2,17,15.3,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,12.2,,,,,,,
Senegal,,,,,,,,,,,,68.4,,,57.4,,,,,,,49.5,,,,38.3,,,,,,38.5,,,,,,,7.6,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,,,,,,,24.7,,,,,,,,,
Sierra Leone,,,,,,,,,,72.9,,,,,,,,,,,,,,73,,,,,,,,54.7,,,,,,,43,,,
El Salvador,,,,,,,,,,18.2,,20.9,,,,12.7,14.5,,20.3,16.5,12.4,13.6,14.1,15.1,11,10.6,7.1,4.7,7,6.8,5.7,4.7,4.2,3.4,3.1,2,2.3,1.9,1.5,1.3,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.8,6.9,6.6,6.4,5.4,2.9,2.3,,
Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,76.5,,,,,
Sub-Saharan Africa,,,,,,,,,,,55.1,56.8,58.3,59.7,60.2,59.7,58.7,58.5,58.4,58.2,57.8,57.1,56.2,55.2,52.7,51.1,49.9,48.7,47.4,47,45.3,44.9,43.5,42.5,41.4,41.3,40.9,40,38.9,38.3,,
Small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,31.4,,,,,,,,,,34.6,,,,,,,25.6,,,,
Suriname,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.3,0.3,0.6,0.7,1.3,0.2,0.2,0.1,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sweden,,0.2,,,,,,0.2,,,,,0.2,,,0.2,,,,,0,,,0.3,0.4,1,0.3,0.4,0.6,0.4,0.5,0.5,0.5,0.6,0.5,0.4,0.3,0.2,0.7,0.3,,
Eswatini,,,,,,,,,,,,,,,82.1,,,,,,48.9,,,,,,,,,43,,,,,,,29.2,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,0.5,,,
Syrian Arab Republic,,,,,,,,,,,,,,,,,2.1,,,,,,,0.9,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,38.1,,,,,,,33.2,,,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,,,,,55,,,,51.1,,,24.1,,,
Thailand,,19.3,,,,,,,14,,9.2,,6.6,,3.1,,2.2,,1.5,2.5,2.4,,1.1,,0.7,,0.7,0.3,0.1,0.2,0.1,0,0.1,0,0,0,0,0,0,0.1,0,
Tajikistan,,,,,,,,,,,,,,,,,,,,50.7,,,,27,13.3,,,9.2,,4,,,,,,4.1,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,49.8,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,37.4,,,,,,,22,,,,,,,
Middle East & North Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,1.1,,,,,,1,,,,,,
South Asia (IDA & IBRD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,0.4,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,15.1,,,,,10.7,,,,,11.8,,,,,6,,,,,3.4,,,,,2,,,,,0.2,,,,,,
Turkey,,,,,,,,2.2,,,,,,,3,,,,,,,,2.1,3.9,2,2.3,1.8,1.3,0.6,0.7,0.8,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0,0.4,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,
Tanzania,,,,,,,,,,,,72.3,,,,,,,,,86.2,,,,,,,60.3,,,,49.6,,,,,,,49.4,,,
Uganda,,,,,,,,,,58.3,,,64.4,,,,63.4,,,67.5,,,65.6,,,57,,,,45.3,,,35.7,,,,41.3,,,41,,
Ukraine,,,,,,,,,,,,,2.7,1.1,,4.8,5,,,,,,1.5,0.6,0.5,0.2,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,
Upper middle income,,55.8,54.3,52.7,48.6,45,41.7,39.2,35.2,43.7,42.7,41.8,39.7,37.6,35.1,31.5,28.9,28.3,27.9,27.7,25.1,23.7,21.7,19.5,16.4,13.4,12.2,11,10.3,9.3,8,6,5.1,2.3,2,1.7,1.6,1.6,1.4,1.4,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,
United States,,,,,,,0.5,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1,1.2,1,1,,
Uzbekistan,,,,,,,,,,,,,,,,,,,39.9,,61.5,,57.5,61.6,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",,6,,,,,,6.3,,5,,,4.3,,,9.4,,,9.8,11.1,,9.3,15.5,18.8,15.8,13.9,6.7,,,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,52.3,,,,,31.4,,,,,37,,25.8,,18.8,,14.1,,4,,2.7,,2.6,,1.8,,1.8,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,8.6,,
World,,42.6,42.1,41.3,39.6,38,36.7,35.7,33.9,36.9,36.3,35.9,35,34.1,33.1,31.2,29.7,29.5,29.8,28.8,27.7,26.9,25.6,24.4,22.6,20.8,20.1,18.9,18.2,17.3,15.9,13.7,12.9,11.2,10.6,10.1,9.6,9.1,8.6,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0.6,,,,,1.1,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,1.9,,3.5,3.6,,,3.2,2.5,1.7,0.6,0.3,1,0.7,0.8,0.4,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,7,,,,,,,9.4,,,,,,,,,18.3,,,,,,,
South Africa,,,,,,,,,,,,,,31.5,,,,,,,34.8,,,,,25.7,,,16.7,,16.2,,,,18.7,,,,,,,
Zambia,,,,,,,,,,,,55.2,,56.2,,,43.6,,43.8,,,,52.1,,58.4,,62.1,,,,65.8,,,,,58.7,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,33.9,,39.5,,
